stck_bsop_date,stck_oprc,stck_hgpr,stck_lwpr,stck_clpr,acml_vol,prdy_vrss,prdy_ctrt,prdy_vrss_sign,prdy_vrss_vol_rate,acml_prtt_rate,hts_frgn_ehrt,frgn_ntby_qty,flng_cls_code
2006-06-01,8492.38332495359,8618.300046410892,8408.438843982054,8478.392578125,29650600,0.0,0.0,0.0,0.0,0.0,,,
2006-06-02,8548.34611983408,8646.28134542956,8478.39238726588,8590.318359375,19403200,111.92578125,1.3201297323596206,1.0,-34.560514795653376,0.013201297323596206,,,
2006-06-05,8646.28284627345,8660.273595215642,8534.35685473593,8576.3291015625,15993450,-13.9892578125,-0.16284911952341163,-1.0,-17.573132266842585,0.011551307931904953,,,
2006-06-07,8338.486223958333,8464.402962239583,8338.486223958333,8394.44921875,30545950,-181.8798828125,-2.120719490339562,-1.0,90.99037418443174,-0.009900857810191677,,,
2006-06-08,8380.45909184765,8380.45909184765,8044.681098184305,8072.66259765625,41207100,-321.78662109375,-3.8333261981620126,-1.0,34.90200828587751,-0.047854587615530964,,,
2006-06-09,8086.651438519021,8156.605170686141,8016.6977063519025,8044.67919921875,30558000,-27.9833984375,-0.3466439740170024,-1.0,-25.84287659165532,-0.051155142311441026,,,
2006-06-12,8058.670949477351,8058.670949477351,7876.791223187064,8030.689453125,21498400,-13.98974609375,-0.1739006086794448,-1.0,-29.64722822174226,-0.052805189294385046,,,
2006-06-13,7834.818135245902,7848.808881915984,7666.9291752049185,7680.919921875,41305250,-349.76953125,-4.355410992936526,-1.0,92.13174003646782,-0.09405941620438174,,,
2006-06-14,7610.964172694394,7848.806803091094,7568.991943800858,7736.880859375,32644700,55.9609375,0.7285707710690481,1.0,-20.967189400863084,-0.0874589979075946,,,
2006-06-15,7890.780479307432,7890.780479307432,7736.882278469876,7764.86376953125,18344000,27.98291015625,0.3616820610897964,1.0,-43.8071111083882,-0.0841585008029373,,,
2006-06-16,8058.668071366024,8072.658814545479,7904.76989639202,7988.71435546875,28129000,223.8505859375,2.882865592772843,1.0,53.34169210641082,-0.057756021338250196,,,
2006-06-19,7988.71694724834,8058.670685840708,7848.809470063606,7904.7724609375,20069800,-83.94189453125,-1.0507559889631923,-1.0,-28.650858544562553,-0.06765670637468357,,,
2006-06-20,7876.7902050429975,7918.762444146246,7722.891994997753,7778.85498046875,19583950,-125.91748046875,-1.5929298546035087,-1.0,-2.4208014031031677,-0.08250828104623487,,,
2006-06-21,7778.854469395197,7890.780432983617,7764.863723946644,7792.84521484375,13499300,13.990234375,0.17984953325556052,1.0,-31.069574830409596,-0.08085817647203808,,,
2006-06-22,7904.768049152496,8002.703228522527,7834.814349602474,7918.7587890625,22982200,125.91357421875,1.6157586959241854,1.0,70.24734615868971,-0.06600706253050892,,,
2006-06-23,7904.771900445643,7988.716380804358,7848.808913539833,7946.744140625,14896500,27.9853515625,0.35340578375937515,1.0,-35.18244554481294,-0.06270627746958768,,,
2006-06-26,7974.726260470361,8184.58747785116,7974.726260470361,8142.615234375,22351250,195.87109375,2.4647967807177373,1.0,50.04363441076762,-0.03960389197078862,,,
2006-06-27,8184.58745259568,8254.541191506753,8156.60595703125,8156.60595703125,15767750,13.99072265625,0.17182099673809237,1.0,-29.45472848274705,-0.037953729805338954,,,
2006-06-28,8044.679565429687,8114.633300781249,7988.716577148437,8114.63330078125,18377100,-41.97265625,-0.5145848220584726,-1.0,16.548651519715875,-0.04290427389294027,,,
2006-06-29,8191.648991988877,8289.668723516948,8177.646173199152,8261.6630859375,15998850,147.02978515625,1.8119091732967663,1.0,-12.94137812821392,-0.025562568634375116,,,
2006-06-30,8499.71049051617,8527.716126399255,8429.696400808458,8443.69921875,29176450,182.0361328125,2.2033836398188456,1.0,82.36592005050363,-0.004091973691393913,,,
2006-07-03,8499.711694537706,8555.722974238119,8457.703234762395,8471.7060546875,12593400,28.0068359375,0.3316891709655989,1.0,-56.837106639087345,-0.0007886546153510476,,,
2006-07-04,8555.717563825916,8569.720374896007,8415.689453125,8415.689453125,9270000,-56.0166015625,-0.6612198440419825,-1.0,-26.39001381676116,-0.007395638314953268,,,
2006-07-05,8191.648495802239,8471.704854633084,8191.648495802239,8443.69921875,13375000,28.009765625,0.3328279374020804,1.0,44.28263214670982,-0.004091973691393802,,,
2006-07-06,8303.673390468228,8401.693143812709,8261.664924749164,8373.6875,17500000,-70.01171875,-0.8291593167427447,-1.0,30.841121495327094,-0.012349637877720365,,,
2006-07-07,8415.689453125,8485.703508475457,8401.686642054909,8415.689453125,14365000,42.001953125,0.5015944662969618,1.0,-17.914285714285715,-0.007395638314953157,,,
2006-07-10,8317.67322865099,8499.70984813325,8247.659144234736,8485.70703125,17315000,70.017578125,0.8319886150147893,1.0,20.536025060911946,0.000862716966406607,,,
2006-07-11,8317.673449064556,8569.72415964227,8317.673449064556,8513.712890625,16385000,28.005859375,0.33003566198861467,1.0,-5.371065550101073,0.004165920859943828,,,
2006-07-12,8485.707256116366,8569.72415964227,8387.687535336143,8513.712890625,23300000,0.0,0.0,0.0,42.20323466585292,0.004165920859943828,,,
2006-07-13,8401.689453125,8527.714794921874,8331.675374348959,8401.689453125,22835000,-112.0234375,-1.3158000385866453,-1.0,-1.995708154506437,-0.009046894714205278,,,
2006-07-14,8219.655433132224,8275.666713766856,8149.641332338934,8177.64697265625,24250000,-224.04248046875,-2.6666360583634474,-1.0,6.196627983358871,-0.03547200754122859,,,
2006-07-18,8065.623228092784,8177.645772927406,8065.623228092784,8149.64013671875,14245000,-28.0068359375,-0.3424803740140314,-1.0,-41.25773195876289,-0.038775326617271455,,,
2006-07-19,8121.634765625,8233.657314116379,8121.634765625,8121.634765625,11125000,-28.00537109375,-0.34363935859658135,-1.0,-21.9024219024219,-0.04207847291955591,,,
2006-07-20,8317.676212374581,8373.6875,8261.664924749164,8373.6875,21960000,252.052734375,3.103472904763205,1.0,97.39325842696628,-0.012349637877720365,,,
2006-07-21,8275.668289338699,8359.6852262863,8261.6654665141,8317.6767578125,8896300,-56.0107421875,-0.6688898073578642,-1.0,-59.48861566484518,-0.018955930482289385,,,
2006-07-24,8219.654629568326,8317.674361096399,8163.643354409428,8261.6630859375,14934950,-56.013671875,-0.6734292940921094,-1.0,67.87821903487968,-0.025562568634375005,,,
2006-07-25,8345.681856187291,8429.698787625417,8317.676212374581,8373.6875,15877650,112.0244140625,1.355954762342959,1.0,6.312039879611242,-0.012349637877720365,,,
2006-07-26,8373.68760760121,8457.704540118948,8345.681963428631,8387.6904296875,7650000,14.0029296875,0.16722536740831906,1.0,-51.81906642355764,-0.010698035930951755,,,
2006-07-27,8387.687089326366,8471.703988384726,8317.673006777732,8457.701171875,14995000,70.0107421875,0.8346843839122098,1.0,96.01307189542483,-0.002440486927130614,,,
2006-07-28,8401.686642054909,8457.697886335274,8359.678208844634,8415.689453125,9564450,-42.01171875,-0.4967273954973095,-1.0,-36.215738579526516,-0.007395638314953157,,,
2006-07-31,8541.718525133636,8597.729794150904,8513.712890625,8513.712890625,23415250,98.0234375,1.164770136136628,1.0,144.8154363293237,0.004165920859943828,,,
2006-08-01,8527.717334387913,8611.734253938532,8471.7060546875,8471.7060546875,13372450,-42.0068359375,-0.49340207353898435,-1.0,-42.889996903727265,-0.0007886546153509366,,,
2006-08-02,8443.698804353413,8597.729794150904,8429.695987099096,8513.712890625,10944800,42.0068359375,0.4958486008170393,1.0,-18.154115364050718,0.00416592085994405,,,
2006-08-03,8653.740301613729,8667.743117635759,8541.7177734375,8541.7177734375,12565450,28.0048828125,0.3289385391811672,1.0,14.807488487683651,0.00746900957097596,,,
2006-08-04,8569.722999237805,8639.737076028963,8569.722999237805,8611.7314453125,8121450,70.013671875,0.8196673518378716,1.0,-35.36681933396735,0.01572690412231359,,,
